% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=844030, Tue Jun 24 17:14:03 2025, <python>{}</python>
1 8 0.36245276655551584 1 0 5.97e-08 5.97e-08 2.97 2.97
2 16 0.3710950165356355 1 0 5.97e-08 5.97e-08 2.97 2.97
3 24 0.39861327506030886 1 0 5.97e-08 5.97e-08 2.97 2.97
4 32 0.49741686170085414 1 0 5.97e-08 5.97e-08 2.97 2.97
5 40 0.5690393746566557 1 0 5.97e-08 5.97e-08 2.97 2.97
6 48 0.7020724201831106 1 0 5.97e-08 5.97e-08 2.97 2.97
7 56 0.8278412736484199 1 0 5.97e-08 5.795605477234307e-08 2.97 2.97
8 64 0.7825346397962133 1 0 5.97e-08 5.795605477234307e-08 2.97 2.97
9 72 0.7176727402073935 1 0 5.97e-08 5.795605477234307e-08 2.97 2.97
10 80 0.8050499009642642 1 0 5.97e-08 5.795605477234307e-08 2.97 2.97
11 88 1.0773156973919025 1 0 5.97e-08 5.795605477234307e-08 2.294914281440728 2.97
12 96 1.1104065771988125 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
13 104 0.854963771095088 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
14 112 0.8380935961010324 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
15 120 0.6947432397004666 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
16 128 0.7944930469496349 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
17 136 0.901874791882814 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
18 144 0.806600453553618 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
19 152 0.6905623463220972 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
20 160 0.7115238756964234 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
21 168 0.7271444058259332 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
22 176 0.7456526483001142 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
23 184 0.822280411446072 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
24 192 0.6443933519417862 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
25 200 0.5888476742131694 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
26 208 0.6691504817060678 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
27 216 0.6379571385871875 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
28 224 0.5523651547210646 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
29 232 0.617059476197666 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
30 240 0.5176790753142548 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
31 248 0.43042670652937554 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
32 256 0.3998701157274327 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
33 264 0.3848451654388951 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
34 272 0.39443400114642574 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
35 280 0.33755864775783123 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
36 288 0.3002593422015513 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
37 296 0.2898590781321353 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
38 304 0.25109987998194233 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
39 312 0.2014625408585281 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
40 320 0.15276219406840658 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
41 328 0.13823481327010181 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
42 336 0.13959147534178112 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
43 344 0.14421632088123285 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
44 352 0.13678566651381768 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
45 360 0.12849088936304137 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
46 368 0.12947500399095999 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
47 376 0.12433206527109847 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
48 384 0.12790307862368028 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
49 392 0.13571900144949417 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
50 400 0.12595848059313 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
50 400 0.12595848059313 1 0 5.97e-08 5.795605477234307e-08 2.100252381647441 2.97
